Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2021-01-12 11:58:50 AM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Users\INSTR-ADMIN\experiments\Rich\CRII_Oct2020_CBASS\CRII2020_07.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,CRII2020_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-01-12 08:53:03 AM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,Rn (last cycle),Delta Rn (last cycle),Tm1,Tm2,Tm3,Tm4,CQCONF,EXPFAIL,THOLDFAIL,HIGHSD,MTP,NOAMP
1,A1,FALSE,+,A_EMM,UNKNOWN,FAM,NFQ-MGB,21.349355697631836,21.349355697631836,,,,,,,,,TRUE,0.203664354046526,TRUE,3,16,Amp,,0.95481976337205143,5.0916390419006348,3.4572291374206543,79.46240234375,,,,N,N,N,N,N,N
2,A2,FALSE,+,B,UNKNOWN,FAM,NFQ-MGB,20.863470077514648,20.863470077514648,,,,,,,,,TRUE,0.11156654068310437,TRUE,3,16,Amp,,0.96262032681370147,2.726851224899292,1.2154339551925659,60.001701354980469,,,,N,N,N,N,N,N
3,A3,FALSE,+,C,UNKNOWN,VIC,NFQ-MGB,24.092525482177734,24.092525482177734,,,,,,,,,TRUE,0.039999999105930328,TRUE,3,21,Amp,,0.57937868005085502,0.86673951148986816,0.21043661236763,0,,,,Y,N,Y,N,N,N
3,A3,FALSE,+,D,UNKNOWN,FAM,NFQ-MGB,16.31292724609375,16.31292724609375,,,,,,,,,FALSE,0.01,TRUE,3,15,Amp,,0.49501839025154909,3.5650150775909424,2.2469205856323242,60.001701354980469,,,,Y,N,N,N,N,N
4,A4,FALSE,NSF_7_G228_QR,A_EMM,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,TRUE,0.203664354046526,TRUE,3,39,No Amp,,0,1.4351350069046021,0.0005966768367215991,76.956100463867188,,,,Y,Y,N,N,N,Y
5,A5,FALSE,NSF_7_G228_QR,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,TRUE,0.11156654068310437,TRUE,3,33,Amp,,0,1.45827317237854,0.072881944477558136,77.988105773925781,,,,Y,N,N,N,N,N
6,A6,FALSE,NSF_7_G228_QR,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,,,,,TRUE,0.039999999105930328,TRUE,3,39,No Amp,,0,0.62830770015716553,-0.0085153952240943909,0,,,,Y,Y,Y,N,N,N
6,A6,FALSE,NSF_7_G228_QR,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.2209692001342773,-0.00038213771767914295,77.693244934082031,,,,Y,Y,N,N,N,Y
7,A7,FALSE,NSF_7_G228_QR,A_EMM,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,TRUE,0.203664354046526,TRUE,3,39,No Amp,,0,1.368086576461792,-0.0010264026932418346,77.398384094238281,,,,Y,Y,N,N,N,Y
8,A8,FALSE,NSF_7_G228_QR,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,TRUE,0.11156654068310437,TRUE,3,30,Amp,,0,1.4093718528747559,0.10099523514509201,78.135528564453125,,,,Y,N,N,N,N,N
9,A9,FALSE,NSF_7_G228_QR,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,,,,,TRUE,0.039999999105930328,TRUE,3,39,No Amp,,0,0.56784296035766602,-0.0077276863157749176,0,,,,Y,Y,Y,N,N,N
9,A9,FALSE,NSF_7_G228_QR,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.5291283130645752,-0.0016386626521125436,60.001701354980469,,,,Y,Y,N,N,N,Y
10,A10,FALSE,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.39377659559249878,-0.0024547905195504427,61.918285369873047,,,,Y,Y,N,N,N,Y
11,A11,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.40352103114128113,2.8435577405616641e-05,60.001701354980469,,,,Y,Y,N,N,N,Y
