Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2021-01-16 15:44:23 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Users\INSTR-ADMIN\experiments\Rich\CRII_Oct2020_CBASS\CRII2020_09_.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,CRII2020_09_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-01-16 11:49:43 AM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,EXPFAIL,HIGHSD,NOAMP,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,+,Acer,UNKNOWN,SYBR,None,29.27421760559082,29.336956024169922,0.088726870715618134,,,,,,,,FALSE,0.01,TRUE,3,28,Amp,,0.46399769958924669,Y,N,N,N,74.696365356445312,,,
2,A2,FALSE,+,A,UNKNOWN,SYBR,None,13.534582138061523,13.424922943115234,0.15508083999156952,,,,,,,,FALSE,0.01,TRUE,3,12,Amp,,0.47632126105660916,Y,N,N,N,87.611091613769531,,,
3,A3,FALSE,+,D,UNKNOWN,FAM,NFQ-MGB,14.792472839355469,15.290168762207031,0.70384901762008667,,,,,,,,FALSE,0.01,TRUE,3,14,Amp,,0.35265051405507092,Y,N,Y,N,60.000301361083984,,,
4,A4,FALSE,CRII2020_FWC_AcML75,Acer,UNKNOWN,SYBR,None,19.46656608581543,19.175216674804688,0.41203165054321289,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.51427547751589953,Y,N,N,N,75.141700744628906,,,
5,A5,FALSE,CRII2020_FWC_AcML75,A,UNKNOWN,SYBR,None,21.297220230102539,20.941884994506836,0.50251990556716919,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.36621055479959008,Y,N,Y,N,87.611091613769531,,,
6,A6,FALSE,CRII2020_FWC_AcML75,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,74.251029968261719,,,
7,A7,FALSE,CRII2020_FWC_AcML75,Acer,UNKNOWN,SYBR,None,18.883865356445312,19.175216674804688,0.41203165054321289,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.34262622814611599,Y,N,N,N,75.141700744628906,,,
8,A8,FALSE,CRII2020_FWC_AcML75,A,UNKNOWN,SYBR,None,20.586549758911133,20.941884994506836,0.50251990556716919,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.25403986435438614,Y,N,Y,N,87.611091613769531,,,
9,A9,FALSE,CRII2020_FWC_AcML75,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,60.148746490478516,,,
10,A10,FALSE,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,60.000301361083984,,,
11,A11,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,60.000301361083984,,,
12,A12,FALSE,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,N,75.290145874023438,,,
13,B1,FALSE,CRII2020_FWC_AcTDT1,Acer,UNKNOWN,SYBR,None,18.174617767333984,17.902673721313477,0.38458696007728577,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.42706652418200164,Y,N,N,N,74.993255615234375,,,
14,B2,FALSE,CRII2020_FWC_AcTDT1,A,UNKNOWN,SYBR,None,19.687255859375,19.668092727661133,0.027100760489702225,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.40690549168010864,Y,N,N,N,87.462646484375,,,
15,B3,FALSE,CRII2020_FWC_AcTDT1,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,77.219932556152344,,,
16,B4,FALSE,CRII2020_FWC_AcTDT1,Acer,UNKNOWN,SYBR,None,17.630729675292969,17.902673721313477,0.38458696007728577,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.35969559696382813,Y,N,N,N,75.141700744628906,,,
17,B5,FALSE,CRII2020_FWC_AcTDT1,A,UNKNOWN,SYBR,None,19.648929595947266,19.668092727661133,0.027100760489702225,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.40780409354109198,Y,N,N,N,87.611091613769531,,,
