Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2021-01-12 18:11:28 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Users\INSTR-ADMIN\experiments\Rich\CRII_Oct2020_CBASS\CRII2020_11.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,CRII2020_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-01-12 15:05:39 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,Rn (last cycle),Delta Rn (last cycle),Tm1,Tm2,Tm3,Tm4,CQCONF,EXPFAIL,HIGHSD,MTP,NOAMP
1,A1,FALSE,+,Acer,UNKNOWN,SYBR,None,17.285192489624023,17.183013916015625,0.1445009708404541,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.59710527610651287,4.0520868301391602,3.4172139167785645,75.180557250976562,,,,Y,N,N,N,N
2,A2,FALSE,+,A,UNKNOWN,SYBR,None,13.520889282226562,13.098512649536133,0.59733074903488159,,,,,,,,FALSE,0.01,TRUE,3,12,Amp,,0.45379126497403366,5.2118768692016602,4.6752142906188965,87.56024169921875,,,,Y,N,Y,N,N
3,A3,FALSE,+,D,UNKNOWN,FAM,NFQ-MGB,15.222451210021973,15.53852653503418,0.44699734449386597,,,,,,,,FALSE,0.01,TRUE,3,14,Amp,,0.40047836649422069,4.7418317794799805,3.6058526039123535,60.737586975097656,,,,Y,N,N,N,N
4,A4,FALSE,CRII2020_Mote_AcML57,Acer,UNKNOWN,SYBR,None,19.335897445678711,19.130939483642578,0.28985431790351868,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.50520174835161324,3.992741584777832,3.5127379894256592,75.180557250976562,,,,Y,N,N,N,N
5,A5,FALSE,CRII2020_Mote_AcML57,A,UNKNOWN,SYBR,None,20.950233459472656,20.011344909667969,1.3277902603149414,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.41258766456434443,4.7570838928222656,4.1926589012145996,87.707611083984375,,,,Y,N,Y,N,N
6,A6,FALSE,CRII2020_Mote_AcML57,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0717763900756836,-0.0045854374766349792,74.885795593261719,,,,Y,Y,N,N,Y
7,A7,FALSE,CRII2020_Mote_AcML57,Acer,UNKNOWN,SYBR,None,18.925981521606445,19.130939483642578,0.28985431790351868,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.33401196332481436,3.8618607521057129,3.3985240459442139,75.033172607421875,,,,Y,N,N,N,N
8,A8,FALSE,CRII2020_Mote_AcML57,A,UNKNOWN,SYBR,None,19.072454452514648,20.011344909667969,1.3277902603149414,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.140639222311427,4.400123119354248,3.8858394622802734,87.707611083984375,,,,Y,N,Y,N,N
9,A9,FALSE,CRII2020_Mote_AcML57,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.4542750120162964,0.0013314066454768181,60.000701904296875,,,,Y,Y,N,N,Y
10,A10,FALSE,NTC,Acer,UNKNOWN,SYBR,None,39.968246459960938,39.968246459960938,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.67464315891265869,0.010275311768054962,60.000701904296875,,,,Y,Y,N,N,Y
11,A11,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.44086992740631104,0.0026462853420525789,88.149749755859375,85.496955871582031,75.770065307617188,79.159736633300781,Y,Y,N,Y,Y
12,A12,FALSE,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.1925196647644043,0.0027855811640620232,76.212188720703125,,,,Y,Y,N,N,N
13,B1,FALSE,CRII2020_Mote_AcML58,Acer,UNKNOWN,SYBR,None,19.234804153442383,18.784811019897461,0.63638639450073242,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.53430806789054153,4.0316352844238281,3.5492963790893555,75.033172607421875,,,,Y,N,Y,N,N
