Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2021-01-19 11:48:18 AM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Users\INSTR-ADMIN\experiments\Rich\CRII_Oct2020_CBASS\CRII2020_14.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,CR2020_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-01-19 07:01:28 AM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,EXPFAIL,DRNMIN,NOAMP,CQCONF,MTP,HIGHSD,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,+,Acer,UNKNOWN,SYBR,None,22.374677658081055,24.682645797729492,3.2639598846435547,,,,,,,,FALSE,0.01,TRUE,3,21,Amp,,0.53665711994210508,N,N,N,Y,N,Y,75.172561645507812,,,
2,A2,FALSE,+,A,UNKNOWN,SYBR,None,13.33545970916748,13.096225738525391,0.33832725882530212,,,,,,,,FALSE,0.01,TRUE,3,12,Amp,,0.36271915721777442,N,N,N,Y,N,N,87.692451477050781,,,
3,A3,FALSE,+,D,UNKNOWN,FAM,NFQ-MGB,14.892521858215332,15.086845397949219,0.27481499314308167,,,,,,,,FALSE,0.01,TRUE,3,13,Amp,,0.35856448983452077,N,N,N,Y,N,N,60.737861633300781,,,
4,A4,FALSE,CRII2020_CRF_Ac74,Acer,UNKNOWN,SYBR,None,18.915243148803711,18.833602905273438,0.11545673757791519,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.47022109458861416,N,N,N,Y,N,N,75.467147827148438,,,
5,A5,FALSE,CRII2020_CRF_Ac74,A,UNKNOWN,SYBR,None,19.87799072265625,20.256174087524414,0.53483206033706665,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.3207110619649402,N,N,N,Y,N,Y,87.692451477050781,,,
6,A6,FALSE,CRII2020_CRF_Ac74,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,N,Y,Y,N,N,75.467147827148438,,,
7,A7,FALSE,CRII2020_CRF_Ac74,Acer,UNKNOWN,SYBR,None,18.751962661743164,18.833602905273438,0.11545673757791519,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.35690594185754854,N,N,N,Y,N,N,75.467147827148438,,,
8,A8,FALSE,CRII2020_CRF_Ac74,A,UNKNOWN,SYBR,None,20.634357452392578,20.256174087524414,0.53483206033706665,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.44372839106443174,N,N,N,Y,N,Y,87.987037658691406,,,
9,A9,FALSE,CRII2020_CRF_Ac74,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,N,Y,Y,N,N,60.001399993896484,,,
10,A10,FALSE,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,N,Y,Y,Y,N,93.436874389648438,69.428138732910156,81.800735473632812,86.661399841308594
11,A11,FALSE,NTC,A,UNKNOWN,SYBR,None,24.515777587890625,24.515777587890625,,,,,,,,,FALSE,0.01,TRUE,3,15,No Amp,,0.30643015319961331,N,Y,Y,Y,N,N,60.001399993896484,,,
12,A12,FALSE,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,35,No Amp,,0,N,N,N,Y,N,N,75.467147827148438,,,
13,B1,FALSE,CRII2020_CRF_Ac76,Acer,UNKNOWN,SYBR,None,18.940488815307617,18.819252014160156,0.17145472764968872,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.48790977576305689,N,N,N,Y,N,N,75.172561645507812,,,
14,B2,FALSE,CRII2020_CRF_Ac76,A,UNKNOWN,SYBR,None,20.664340972900391,20.669900894165039,0.0078629162162542343,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.44390213813613016,N,N,N,Y,N,N,87.692451477050781,,,
15,B3,FALSE,CRII2020_CRF_Ac76,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,N,Y,Y,N,N,76.498199462890625,,,
16,B4,FALSE,CRII2020_CRF_Ac76,Acer,UNKNOWN,SYBR,None,18.698015213012695,18.819252014160156,0.17145472764968872,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.38149735656754591,N,N,N,Y,N,N,75.467147827148438,,,
