Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2021-01-19 15:59:29 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Users\INSTR-ADMIN\experiments\Rich\CRII_Oct2020_CBASS\CRII2020_17.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,CRII2020_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-01-19 12:48:57 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,MTP,EXPFAIL,NOAMP,CQCONF,HIGHSD,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,+,Acer,UNKNOWN,SYBR,None,21.263628005981445,21.06463623046875,0.28141552209854126,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.53113404862609503,N,N,N,Y,N,75.161643981933594,,,
2,A2,FALSE,+,A,UNKNOWN,SYBR,None,13.737980842590332,13.796043395996094,0.082112178206443787,,,,,,,,FALSE,0.01,TRUE,3,13,Amp,,0.41332413330625944,N,N,N,Y,N,87.67120361328125,,,
3,A3,FALSE,+,D,UNKNOWN,FAM,NFQ-MGB,15.165920257568359,15.387721061706543,0.3136737048625946,,,,,,,,FALSE,0.01,TRUE,3,14,Amp,,0.42053414966768626,N,N,N,Y,N,60.002998352050781,,,
4,A4,FALSE,CRII2020_UM_Ac58y,Acer,UNKNOWN,SYBR,None,18.804689407348633,18.262090682983398,0.76735049486160278,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.4973093492844789,N,N,N,Y,Y,75.455986022949219,,,
5,A5,FALSE,CRII2020_UM_Ac58y,A,UNKNOWN,SYBR,None,20.840141296386719,20.230014801025391,0.86284917593002319,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.46254729590043897,N,N,N,Y,Y,87.818374633789062,,,
6,A6,FALSE,CRII2020_UM_Ac58y,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,Y,Y,N,73.689926147460938,,,
7,A7,FALSE,CRII2020_UM_Ac58y,Acer,UNKNOWN,SYBR,None,17.719491958618164,18.262090682983398,0.76735049486160278,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.35659776858453546,N,N,N,Y,Y,75.308815002441406,,,
8,A8,FALSE,CRII2020_UM_Ac58y,A,UNKNOWN,SYBR,None,19.619888305664062,20.230014801025391,0.86284917593002319,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.27830240251624189,N,N,N,Y,Y,87.818374633789062,,,
9,A9,FALSE,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,Y,Y,N,60.002998352050781,,,
10,A10,FALSE,CRII2020_UM_Ac58y,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,Y,Y,N,76.339012145996094,,,
11,A11,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,Y,Y,N,60.002998352050781,,,
12,A12,FALSE,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,N,75.603157043457031,,,
13,B1,FALSE,CRII2020_UM_Ac59y,Acer,UNKNOWN,SYBR,None,17.601213455200195,17.933570861816406,0.47002300620079041,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.39755758143076148,N,N,N,Y,N,75.308815002441406,,,
14,B2,FALSE,CRII2020_UM_Ac59y,A,UNKNOWN,SYBR,None,19.789457321166992,19.613929748535156,0.248234823346138,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.56366744371539435,N,N,N,Y,N,87.67120361328125,,,
15,B3,FALSE,CRII2020_UM_Ac59y,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,Y,Y,N,75.603157043457031,,,
16,B4,FALSE,CRII2020_UM_Ac59y,Acer,UNKNOWN,SYBR,None,18.265926361083984,17.933570861816406,0.47002300620079041,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.57243408064759416,N,N,N,Y,N,75.455986022949219,,,
17,B5,FALSE,CRII2020_UM_Ac59y,A,UNKNOWN,SYBR,None,19.438400268554688,19.613929748535156,0.248234823346138,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.44767239329606956,N,N,N,Y,N,87.818374633789062,,,
